path	bytes	class	risk	reason
tmp/dir-legacy.txt	308669062	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-20260817-alt	11710551	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-ui-visual-audit	5191542	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ui-capability-qa	3987147	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-journey-risk	3371769	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-journey-audit	2968739	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-toolcall-audit	2860311	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/external-subagents	2385781	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/delegation-20260814	2178898	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-obs-live-delivery	1690491	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-journey-consolidate	1658191	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/goal-default-canaries-20260817	1496553	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-wave-20260814-main	1314444	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-semantic-explorer-triage-20260817	1014638	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-direct-adapter-hardening-20260818	862901	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-obs-return-feedback	835240	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-20260817	826376	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-fix-mockcase	809634	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-journey-fix-deadstate	751515	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-direct-adapter-hardening-20260818-v3	655141	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/_peek_inspect.png	629808	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-health-audit-20260818	628059	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/harness-landscape-20260810	607200	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-alias-fix-20260818	580817	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-swarm-20260817	578516	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-overlap-guard	574818	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-overlap-guard2	562956	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-overlap-guard4	559244	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786932108114.json	551131	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-ui-visual-audit-webgl	550354	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-latest.json	544501	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786937249950.json	544501	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786937886285.json	542846	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
